timestamp,game_result_id,user_id,node_id,individual_score,submission_success,status
2025-11-03 12:29:16,87bfb73c-5b51-403e-a993-b3c1c2114ed0,8275a657-0525-4094-bb40-07d0948f9af6,1,0,,pre_submission
2025-11-03 12:29:16,87bfb73c-5b51-403e-a993-b3c1c2114ed0,5559ded0-d1d0-4d00-83a9-9b7b7ad76147,2,0,,pre_submission
2025-11-03 12:29:16,87bfb73c-5b51-403e-a993-b3c1c2114ed0,9800358f-2b6c-4a24-ba90-e6e29aeaf44f,3,0,,pre_submission
2025-11-03 12:29:16,87bfb73c-5b51-403e-a993-b3c1c2114ed0,5c5966bc-b991-4f97-89eb-fbe2c18bc551,4,0,,pre_submission
2025-11-03 12:29:17,87bfb73c-5b51-403e-a993-b3c1c2114ed0,8275a657-0525-4094-bb40-07d0948f9af6,1,0,True,submitted_success
2025-11-03 12:29:17,87bfb73c-5b51-403e-a993-b3c1c2114ed0,5559ded0-d1d0-4d00-83a9-9b7b7ad76147,2,0,True,submitted_success
2025-11-03 12:29:17,87bfb73c-5b51-403e-a993-b3c1c2114ed0,9800358f-2b6c-4a24-ba90-e6e29aeaf44f,3,0,True,submitted_success
2025-11-03 12:29:17,87bfb73c-5b51-403e-a993-b3c1c2114ed0,5c5966bc-b991-4f97-89eb-fbe2c18bc551,4,0,True,submitted_success
2025-11-03 14:21:28,d6f5a98d-f3bf-4e63-9b06-11247b11ac50,2d2780df-82a2-4c9c-8cb4-ea0cabc915fb,1,1632,,pre_submission
2025-11-03 14:21:28,d6f5a98d-f3bf-4e63-9b06-11247b11ac50,d4a95b6a-4d36-4571-a207-7912ddf03bf3,2,1631,,pre_submission
2025-11-03 14:21:28,d6f5a98d-f3bf-4e63-9b06-11247b11ac50,1147a486-4908-457d-9bb5-ba1068210ecb,3,1631,,pre_submission
2025-11-03 14:21:28,d6f5a98d-f3bf-4e63-9b06-11247b11ac50,258774bf-5d49-4bc3-9a42-9a65ae9123b2,4,1631,,pre_submission
